30.1122475	3.0139492e11	-1.2139987e10	1.0801054e10
35.0629616	3.3392985e11	-1.7817240e10	1.5550579e10
40.1676102	3.6456711e11	-2.0495107e10	2.3273110e10
45.0199356	3.9211533e11	-2.4422319e10	2.9361570e10
50.1848221	4.2321644e11	-3.4743648e10	3.4822750e10
55.4775352	4.5718517e11	-4.9619470e10	3.4079442e10
64.3951111	4.9374218e11	-5.3804989e10	5.3604584e10
71.0765991	5.1386828e11	-5.0220432e10	7.1869922e10
79.2559509	5.6109457e11	-7.3282747e10	7.2270479e10
89.5000458	5.9643388e11	-8.0752277e10	8.7604990e10
103.6521072	6.4470901e11	-9.9012184e10	1.0335597e11
120.0235138	6.8191977e11	-1.0094162e11	1.3687658e11
137.8004456	7.3989954e11	-1.2778333e11	1.4493660e11
154.8799591	7.9908142e11	-1.6019719e11	1.4388219e11
