0.1099707	0.2339007	-0.0814671	0.0582941
0.1569726	0.2271278	-0.0777335	0.0577741
0.2576838	0.2113334	-0.0742819	0.0487612
0.4294392	0.1844234	-0.0647965	0.0474908
0.6752144	0.1602944	-0.0566480	0.0373112
1.0968778	0.1304004	-0.0470196	0.0267471
1.6532290	0.1027891	-0.0360520	0.0192170
2.3801434	0.0772817	-0.0250852	0.0123948
3.1175344	0.0603735	-0.0184110	0.0070555
4.1415105	0.0432390	-0.0130027	0.0039425
5.0116553	0.0321884	-0.0088370	0.0032516
6.3174596	0.0222490	-0.0059874	0.0017398
7.5770206	0.0158154	-0.0046672	0.0018160
9.3313913	0.0094964	-0.0024191	0.0016567
10.9545527	0.0063187	-0.0014796	0.0014198
11.4498796	0.0055671	-0.0016008	0.0012303
