0.1672924	7.2512345	-0.9978766	1.2511830
0.2419837	10.8435888	-0.9594955	1.4047031
0.3634976	16.2090931	-1.5454292	1.0951061
0.5189840	22.4829216	-1.8652630	2.1236839
0.6956730	30.5119877	-1.6221924	2.2976704
0.8551751	37.1798439	-3.3390465	1.6298676
1.0420640	43.5662575	-2.6226273	3.3236961
1.2450957	50.4771881	-2.0622749	3.0140991
1.4619415	58.0891914	-2.5458641	3.2187920
1.6489106	64.2453232	-3.1420326	3.0473633
1.9043870	71.7089233	-3.5181427	3.3902206
2.1127996	77.4172897	-2.9091949	3.2187958
2.3294046	83.2407913	-3.4311523	3.9838257
2.5636780	88.5832672	-3.0729446	3.5949173
2.8134522	94.2225494	-3.3544006	3.7330780
3.0853124	100.2865677	-3.7893753	4.1168823
3.3405478	105.6623001	-4.6618729	3.6077118
3.6626039	110.8180084	-3.9812851	4.7949142
4.0341330	117.1174164	-3.5002441	5.3092117
4.3904023	122.9357986	-4.5595169	4.5851059
4.7686772	127.7153702	-3.7791443	5.4473953
5.1534581	132.9120026	-4.2243500	5.5139008
5.5044270	136.7627869	-4.1629486	6.0281830
5.8749919	141.4707031	-4.8205109	5.7723389
6.3224168	146.6238403	-5.6213684	4.9996185
6.8415613	151.0656891	-5.4832153	5.5804138
7.4292936	155.6661530	-5.4653168	5.4448090
8.0334902	159.5220490	-5.1352234	7.0721130
9.7844791	169.5647736	-6.6038971	7.0260620
10.8362608	171.7140503	-5.8746948	8.8989868
8.7740583	165.7242126	-8.1083679	6.4171143
11.9575138	177.6526794	-7.0439758	6.9160614
12.6038742	178.5712433	-6.7318420	7.4021912
13.5401659	181.1759491	-7.0644379	6.8955841
14.5738773	182.6958008	-7.0286407	7.6478119
15.4246349	184.3665924	-7.2793732	7.0567780
